Source,Target,Weight,Decada,Pais,Genero
Linkin Park,Pink,2,2000,United States,Nenhum
Linkin Park,Alicia Keys,2,2000,United States,Nenhum
Linkin Park,Beyoncé,2,2000,United States,Nenhum
Linkin Park,Maroon 5,2,2000,United States,Nenhum
Linkin Park,Justin Timberlake,2,2000,United States,Nenhum
Linkin Park,Kanye West,2,2000,United States,Nenhum
Linkin Park,Rihanna,1,2000,Nenhum,Nenhum
Linkin Park,Chris Brown,2,2000,United States,Nenhum
Linkin Park,Taylor Swift,2,2000,United States,Nenhum
Linkin Park,Flo Rida,2,2000,United States,Nenhum
Linkin Park,Luke Bryan,2,2000,United States,Nenhum
Linkin Park,Katy Perry,2,2000,United States,Nenhum
Linkin Park,Lady Gaga,2,2000,United States,Nenhum
Linkin Park,Adele,1,2000,Nenhum,Nenhum
Linkin Park,Drake,1,2000,Nenhum,Nenhum
Linkin Park,Justin Bieber,1,2000,Nenhum,Nenhum
Pink,Alicia Keys,3,2000,United States,"R&B, Pop"
Pink,Beyoncé,3,2000,United States,"R&B, Pop"
Pink,Maroon 5,3,2000,United States,Pop Rock
Pink,Justin Timberlake,3,2000,United States,"R&B, Pop"
Pink,Kanye West,3,2000,United States,Pop
Pink,Rihanna,2,2000,Nenhum,"R&B, Pop"
Pink,Chris Brown,3,2000,United States,"R&B, Pop"
Pink,Taylor Swift,3,2000,United States,Pop
Pink,Flo Rida,2,2000,United States,Nenhum
Pink,Luke Bryan,2,2000,United States,Nenhum
Pink,Katy Perry,3,2000,United States,Pop
Pink,Lady Gaga,3,2000,United States,Pop
Pink,Adele,2,2000,Nenhum,Pop
Pink,Drake,2,2000,Nenhum,"R&B, Pop"
Pink,Justin Bieber,2,2000,Nenhum,Pop
Alicia Keys,Beyoncé,3,2000,United States,"R&B, Pop, Hip-Hop"
Alicia Keys,Maroon 5,2,2000,United States,Nenhum
Alicia Keys,Justin Timberlake,3,2000,United States,"R&B, Pop"
Alicia Keys,Kanye West,3,2000,United States,"Pop, Hip-Hop"
Alicia Keys,Rihanna,2,2000,Nenhum,"R&B, Pop, Hip-Hop"
Alicia Keys,Chris Brown,3,2000,United States,"R&B, Pop, Hip-Hop"
Alicia Keys,Taylor Swift,3,2000,United States,Pop
Alicia Keys,Flo Rida,3,2000,United States,Hip-Hop
Alicia Keys,Luke Bryan,2,2000,United States,Nenhum
Alicia Keys,Katy Perry,3,2000,United States,Pop
Alicia Keys,Lady Gaga,3,2000,United States,Pop
Alicia Keys,Adele,2,2000,Nenhum,Pop
Alicia Keys,Drake,2,2000,Nenhum,"R&B, Pop, Hip-Hop"
Alicia Keys,Justin Bieber,2,2000,Nenhum,Pop
Beyoncé,Maroon 5,2,2000,United States,Nenhum
Beyoncé,Justin Timberlake,3,2000,United States,"R&B, Pop"
Beyoncé,Kanye West,3,2000,United States,"Pop, Hip-Hop"
Beyoncé,Rihanna,2,2000,Nenhum,"R&B, Pop, Hip-Hop"
Beyoncé,Chris Brown,3,2000,United States,"R&B, Pop, Hip-Hop"
Beyoncé,Taylor Swift,3,2000,United States,Pop
Beyoncé,Flo Rida,3,2000,United States,Hip-Hop
Beyoncé,Luke Bryan,2,2000,United States,Nenhum
Beyoncé,Katy Perry,3,2000,United States,Pop
Beyoncé,Lady Gaga,3,2000,United States,Pop
Beyoncé,Adele,2,2000,Nenhum,Pop
Beyoncé,Drake,2,2000,Nenhum,"R&B, Pop, Hip-Hop"
Beyoncé,Justin Bieber,2,2000,Nenhum,Pop
Maroon 5,Justin Timberlake,2,2000,United States,Nenhum
Maroon 5,Kanye West,2,2000,United States,Nenhum
Maroon 5,Rihanna,1,2000,Nenhum,Nenhum
Maroon 5,Chris Brown,2,2000,United States,Nenhum
Maroon 5,Taylor Swift,2,2000,United States,Nenhum
Maroon 5,Flo Rida,2,2000,United States,Nenhum
Maroon 5,Luke Bryan,2,2000,United States,Nenhum
Maroon 5,Katy Perry,2,2000,United States,Nenhum
Maroon 5,Lady Gaga,2,2000,United States,Nenhum
Maroon 5,Adele,1,2000,Nenhum,Nenhum
Maroon 5,Drake,1,2000,Nenhum,Nenhum
Maroon 5,Justin Bieber,2,2000,Nenhum,Dance-Pop
Justin Timberlake,Kanye West,3,2000,United States,Pop
Justin Timberlake,Rihanna,2,2000,Nenhum,"R&B, Pop"
Justin Timberlake,Chris Brown,3,2000,United States,"R&B, Pop"
Justin Timberlake,Taylor Swift,3,2000,United States,Pop
Justin Timberlake,Flo Rida,2,2000,United States,Nenhum
Justin Timberlake,Luke Bryan,2,2000,United States,Nenhum
Justin Timberlake,Katy Perry,3,2000,United States,Pop
Justin Timberlake,Lady Gaga,3,2000,United States,Pop
Justin Timberlake,Adele,2,2000,Nenhum,Pop
Justin Timberlake,Drake,2,2000,Nenhum,"R&B, Pop"
Justin Timberlake,Justin Bieber,2,2000,Nenhum,Pop
Kanye West,Rihanna,2,2000,Nenhum,"Pop, Hip-Hop"
Kanye West,Chris Brown,3,2000,United States,"Pop, Hip-Hop"
Kanye West,Taylor Swift,3,2000,United States,Pop
Kanye West,Flo Rida,3,2000,United States,Hip-Hop
Kanye West,Luke Bryan,2,2000,United States,Nenhum
Kanye West,Katy Perry,3,2000,United States,Pop
Kanye West,Lady Gaga,3,2000,United States,"Electronic, Pop"
Kanye West,Adele,2,2000,Nenhum,Pop
Kanye West,Drake,2,2000,Nenhum,"Pop, Hip-Hop"
Kanye West,Justin Bieber,2,2000,Nenhum,Pop
Rihanna,Chris Brown,2,2000,Nenhum,"R&B, Pop, Hip-Hop"
Rihanna,Taylor Swift,2,2000,Nenhum,Pop
Rihanna,Flo Rida,2,2000,Nenhum,Hip-Hop
Rihanna,Luke Bryan,1,2000,Nenhum,Nenhum
Rihanna,Katy Perry,2,2000,Nenhum,Pop
Rihanna,Lady Gaga,2,2000,Nenhum,"Pop, Dance"
Rihanna,Adele,2,2000,Nenhum,Pop
Rihanna,Drake,2,2000,Nenhum,"R&B, Pop, Hip-Hop"
Rihanna,Justin Bieber,2,2000,Nenhum,Pop
Chris Brown,Taylor Swift,3,2000,United States,Pop
Chris Brown,Flo Rida,3,2000,United States,Hip-Hop
Chris Brown,Luke Bryan,2,2000,United States,Nenhum
Chris Brown,Katy Perry,3,2000,United States,Pop
Chris Brown,Lady Gaga,3,2000,United States,Pop
Chris Brown,Adele,2,2000,Nenhum,Pop
Chris Brown,Drake,2,2000,Nenhum,"R&B, Pop, Hip-Hop"
Chris Brown,Justin Bieber,2,2000,Nenhum,Pop
Taylor Swift,Flo Rida,2,2000,United States,Nenhum
Taylor Swift,Luke Bryan,3,2000,United States,Country
Taylor Swift,Katy Perry,3,2000,United States,Pop
Taylor Swift,Lady Gaga,3,2000,United States,Pop
Taylor Swift,Adele,2,2000,Nenhum,Pop
Taylor Swift,Drake,2,2000,Nenhum,Pop
Taylor Swift,Justin Bieber,2,2000,Nenhum,Pop
Flo Rida,Luke Bryan,2,2000,United States,Nenhum
Flo Rida,Katy Perry,2,2000,United States,Nenhum
Flo Rida,Lady Gaga,2,2000,United States,Nenhum
Flo Rida,Adele,1,2000,Nenhum,Nenhum
Flo Rida,Drake,2,2000,Nenhum,Hip-Hop
Flo Rida,Justin Bieber,1,2000,Nenhum,Nenhum
Luke Bryan,Katy Perry,2,2000,United States,Nenhum
Luke Bryan,Lady Gaga,2,2000,United States,Nenhum
Luke Bryan,Adele,1,2000,Nenhum,Nenhum
Luke Bryan,Drake,1,2000,Nenhum,Nenhum
Luke Bryan,Justin Bieber,1,2000,Nenhum,Nenhum
Katy Perry,Lady Gaga,3,2000,United States,Pop
Katy Perry,Adele,2,2000,Nenhum,Pop
Katy Perry,Drake,2,2000,Nenhum,Pop
Katy Perry,Justin Bieber,2,2000,Nenhum,Pop
Lady Gaga,Adele,2,2000,Nenhum,Pop
Lady Gaga,Drake,2,2000,Nenhum,Pop
Lady Gaga,Justin Bieber,2,2000,Nenhum,Pop
Adele,Drake,2,2000,Nenhum,Pop
Adele,Justin Bieber,2,2000,Nenhum,Pop
Drake,Justin Bieber,3,2000,Canada,Pop
