Source,Target,Weight,Decada,Pais,Genero
Tina Turner,Johnny Hallyday,2,1960,Nenhum,"Pop, Rock"
Tina Turner,Aretha Franklin,2,1960,United States,Nenhum
Tina Turner,The Beatles,2,1960,Nenhum,"Pop, Rock"
Tina Turner,Stevie Wonder,2,1960,United States,Nenhum
Tina Turner,The Beach Boys,3,1960,United States,"Pop, Rock"
Tina Turner,The Rolling Stones,2,1960,Nenhum,Rock
Tina Turner,Barbra Streisand,3,1960,United States,Pop
Tina Turner,Bee Gees,2,1960,Nenhum,Pop
Tina Turner,Bob Dylan,3,1960,United States,Rock
Tina Turner,Simon & Garfunkel,2,1960,United States,Nenhum
Tina Turner,Cher,3,1960,United States,"Pop, Rock"
Tina Turner,Neil Diamond,3,1960,United States,"Pop, Rock"
Tina Turner,Olivia Newton-John,2,1960,Nenhum,Pop
Tina Turner,Pink Floyd,1,1960,Nenhum,Nenhum
Tina Turner,The Doors,2,1960,United States,Nenhum
Tina Turner,David Bowie,2,1960,Nenhum,Pop
Tina Turner,Bob Seger,3,1960,United States,Rock
Tina Turner,Julio Iglesias,1,1960,Nenhum,Nenhum
Tina Turner,Fleetwood Mac,3,1960,United States,"Pop, Rock"
Tina Turner,Linda Ronstadt,3,1960,United States,Rock
Tina Turner,Led Zeppelin,1,1960,Nenhum,Nenhum
Tina Turner,Rod Stewart,2,1960,Nenhum,"Pop, Rock"
Tina Turner,Santana,3,1960,United States,Rock
Tina Turner,Chicago,3,1960,United States,"Pop, Rock"
Tina Turner,The Carpenters,3,1960,United States,Pop
Tina Turner,Genesis,1,1960,Nenhum,Nenhum
Johnny Hallyday,Aretha Franklin,1,1960,Nenhum,Nenhum
Johnny Hallyday,The Beatles,2,1960,Nenhum,"Pop, Rock"
Johnny Hallyday,Stevie Wonder,1,1960,Nenhum,Nenhum
Johnny Hallyday,The Beach Boys,2,1960,Nenhum,"Pop, Rock"
Johnny Hallyday,The Rolling Stones,2,1960,Nenhum,Rock
Johnny Hallyday,Barbra Streisand,2,1960,Nenhum,Pop
Johnny Hallyday,Bee Gees,2,1960,Nenhum,Pop
Johnny Hallyday,Bob Dylan,2,1960,Nenhum,Rock
Johnny Hallyday,Simon & Garfunkel,1,1960,Nenhum,Nenhum
Johnny Hallyday,Cher,2,1960,Nenhum,"Pop, Rock"
Johnny Hallyday,Neil Diamond,2,1960,Nenhum,"Pop, Rock"
Johnny Hallyday,Olivia Newton-John,2,1960,Nenhum,Pop
Johnny Hallyday,Pink Floyd,1,1960,Nenhum,Nenhum
Johnny Hallyday,The Doors,1,1960,Nenhum,Nenhum
Johnny Hallyday,David Bowie,2,1960,Nenhum,Pop
Johnny Hallyday,Bob Seger,2,1960,Nenhum,Rock
Johnny Hallyday,Julio Iglesias,1,1960,Nenhum,Nenhum
Johnny Hallyday,Fleetwood Mac,2,1960,Nenhum,"Pop, Rock"
Johnny Hallyday,Linda Ronstadt,2,1960,Nenhum,Rock
Johnny Hallyday,Led Zeppelin,1,1960,Nenhum,Nenhum
Johnny Hallyday,Rod Stewart,2,1960,Nenhum,"Pop, Rock"
Johnny Hallyday,Santana,2,1960,Nenhum,Rock
Johnny Hallyday,Chicago,2,1960,Nenhum,"Pop, Rock"
Johnny Hallyday,The Carpenters,2,1960,Nenhum,Pop
Johnny Hallyday,Genesis,1,1960,Nenhum,Nenhum
