Source,Target,Weight,Decada,Pais,Genero
Mariah Carey,Nirvana,2,1990,United States,Nenhum
Mariah Carey,Tupac Shakur,3,1990,United States,Hip-Hop
Mariah Carey,R. Kelly,3,1990,United States,"Hip-Hop, R&B, Soul"
Mariah Carey,Shania Twain,1,1990,Nenhum,Nenhum
Mariah Carey,Tim McGraw,2,1990,United States,Nenhum
Mariah Carey,Usher,3,1990,United States,"Pop, R&B"
Mariah Carey,Green Day,2,1990,United States,Nenhum
Mariah Carey,Backstreet Boys,3,1990,United States,Pop
Mariah Carey,Shakira,2,1990,Nenhum,Pop
Mariah Carey,Jay-Z,3,1990,United States,Hip-Hop
Mariah Carey,Robbie Williams,1,1990,Nenhum,Nenhum
Mariah Carey,Britney Spears,3,1990,United States,Pop
Mariah Carey,Christina Aguilera,3,1990,United States,"Pop, R&B"
Mariah Carey,The Black Eyed Peas,3,1990,United States,"Hip-Hop, R&B"
Mariah Carey,Ayumi Hamasaki,2,1990,Nenhum,Pop
Mariah Carey,Eminem,3,1990,United States,Hip-Hop
Mariah Carey,Lil Wayne,3,1990,United States,Hip-Hop
Mariah Carey,Coldplay,2,1990,Nenhum,Pop
Nirvana,Tupac Shakur,2,1990,United States,Nenhum
Nirvana,R. Kelly,2,1990,United States,Nenhum
Nirvana,Shania Twain,1,1990,Nenhum,Nenhum
Nirvana,Tim McGraw,2,1990,United States,Nenhum
Nirvana,Usher,2,1990,United States,Nenhum
Nirvana,Green Day,3,1990,United States,Alternative Rock
Nirvana,Backstreet Boys,2,1990,United States,Nenhum
Nirvana,Shakira,1,1990,Nenhum,Nenhum
Nirvana,Jay-Z,2,1990,United States,Nenhum
Nirvana,Robbie Williams,1,1990,Nenhum,Nenhum
Nirvana,Britney Spears,2,1990,United States,Nenhum
Nirvana,Christina Aguilera,2,1990,United States,Nenhum
Nirvana,The Black Eyed Peas,2,1990,United States,Nenhum
Nirvana,Ayumi Hamasaki,1,1990,Nenhum,Nenhum
Nirvana,Eminem,2,1990,United States,Nenhum
Nirvana,Lil Wayne,2,1990,United States,Nenhum
Nirvana,Coldplay,2,1990,Nenhum,Alternative Rock
Tupac Shakur,R. Kelly,3,1990,United States,Hip-Hop
Tupac Shakur,Shania Twain,1,1990,Nenhum,Nenhum
Tupac Shakur,Tim McGraw,2,1990,United States,Nenhum
Tupac Shakur,Usher,2,1990,United States,Nenhum
Tupac Shakur,Green Day,2,1990,United States,Nenhum
Tupac Shakur,Backstreet Boys,2,1990,United States,Nenhum
Tupac Shakur,Shakira,1,1990,Nenhum,Nenhum
Tupac Shakur,Jay-Z,3,1990,United States,Hip-Hop
Tupac Shakur,Robbie Williams,1,1990,Nenhum,Nenhum
Tupac Shakur,Britney Spears,2,1990,United States,Nenhum
Tupac Shakur,Christina Aguilera,2,1990,United States,Nenhum
Tupac Shakur,The Black Eyed Peas,3,1990,United States,Hip-Hop
Tupac Shakur,Ayumi Hamasaki,1,1990,Nenhum,Nenhum
Tupac Shakur,Eminem,3,1990,United States,Hip-Hop
Tupac Shakur,Lil Wayne,3,1990,United States,Hip-Hop
